#Redshift omega_star
0.07 0.036678184371441214
0.1 0.05497761440833331
0.2 0.0010252070408317989
0.3 0.0009605809882371119
0.5 0.000917347722039587
0.7 0.0009387154954478219
0.9 0.000649432452632317
4.0 0.018180973301496043
5.0 0.018807564465985697
6.0 0.0025847492856596833
8.0 9.325006286673848e-05
